Year,Month,Make,Quantity,Pct
2007,1,Toyota,2884,22.7
2007,2,Toyota,1885,19.2
2007,3,Toyota,1833,16.3
2007,4,Toyota,1300,14.7
2007,5,Toyota,1866,15.5
2007,6,Toyota,1620,14.6
2007,7,Toyota,1901,15.8
2007,8,Toyota,1783,16.5
2007,9,Toyota,1303,14
2007,10,Toyota,1648,14.2
2007,11,Toyota,1579,15.1
2007,12,Toyota,1081,11.7
2008,1,Toyota,1758,17.8
2008,2,Toyota,1494,14.1
2008,3,Toyota,1338,14.1
2008,4,Toyota,1528,13.1
2008,5,Toyota,1259,12.3
2008,6,Toyota,1141,11.8
2008,7,Toyota,1315,13.7
2008,8,Toyota,1002,12.8
2008,9,Toyota,1250,14.8
2008,10,Toyota,1247,14.9
2008,11,Toyota,760,10.9
2008,12,Toyota,876,11.2
2009,1,Toyota,946,17.7
2009,2,Toyota,893,14.2
2009,3,Toyota,1021,13.4
2009,4,Toyota,993,13.2
2009,5,Toyota,1056,14.2
2009,6,Toyota,888,11.7
2009,7,Toyota,1353,14.4
2009,8,Toyota,1482,18.6
2009,9,Toyota,1697,17.8
2009,10,Toyota,1709,16.8
2009,11,Toyota,1450,15.1
2009,12,Toyota,1117,10.9
2010,1,Toyota,1894,19.5
2010,2,Toyota,1287,14.2
2010,3,Toyota,1474,12.8
2010,4,Toyota,1280,12
2010,5,Toyota,1213,12.3
2010,6,Toyota,1488,13.4
2010,7,Toyota,1694,14.7
2010,8,Toyota,1529,14.7
2010,9,Toyota,1461,13.1
2010,10,Toyota,1379,12.9
2010,11,Toyota,1511,12.7
2010,12,Toyota,668,6.6
2011,1,Toyota,1557,15
2011,2,Toyota,1270,12
2011,3,Toyota,1604,12.4
2011,4,Toyota,1253,11.1
2011,5,Toyota,1306,10
2011,6,Toyota,876,8.5
2011,7,Toyota,1325,11.8
2011,8,Toyota,1284,11.2
2011,9,Toyota,1313,11.2
2011,10,Toyota,1218,10.6
2011,11,Toyota,1298,10.5
2011,12,Toyota,932,8.1
2012,1,Toyota,1388,12.8
2012,2,Toyota,1465,13.4
2012,3,Toyota,1834,14.1
2012,4,Toyota,1364,12.5
2012,5,Toyota,1508,12
2012,6,Toyota,1264,11.4
2012,7,Toyota,1342,11.3
2012,8,Toyota,1547,13.1
2012,9,Toyota,1387,12.5
2012,10,Toyota,1640,13.2
2012,11,Toyota,1380,11.5
2012,12,Toyota,784,8.4
2013,1,Toyota,1287,11.1
2013,2,Toyota,1500,13.2
2013,3,Toyota,1301,12.1
2013,4,Toyota,1645,11.8
2013,5,Toyota,1635,13.6
2013,6,Toyota,1450,13.2
2013,7,Toyota,1627,14.4
2013,8,Toyota,1666,14.3
2013,9,Toyota,1548,12.7
2013,10,Toyota,1890,14.7
2013,11,Toyota,1454,12
2013,12,Toyota,906,8
2014,1,Toyota,1501,13.2
2014,2,Toyota,1352,12
2014,3,Toyota,1441,10.4
2014,4,Toyota,1229,10.1
2014,5,Toyota,1458,11.8
2014,6,Toyota,1306,11.4
2014,7,Toyota,1270,10.9
2014,8,Toyota,1233,10.8
2014,9,Toyota,1463,12.6
2014,10,Toyota,1451,11.2
2014,11,Toyota,1241,10.8
2014,12,Toyota,1055,8.3
2015,1,Toyota,1372,13
2015,2,Toyota,1436,13.4
2015,3,Toyota,1509,10.7
2015,4,Toyota,1274,10
2015,5,Toyota,1159,9.6
2015,6,Toyota,1409,9.9
2015,7,Toyota,1458,11.8
2015,8,Toyota,1461,11.6
2015,9,Toyota,1527,12.3
2015,10,Toyota,1443,10.9
2015,11,Toyota,1102,8.7
2015,12,Toyota,866,6.6
2016,1,Toyota,1106,10.1
2016,2,Toyota,1374,11.2
2016,3,Toyota,1537,11.1
2016,4,Toyota,1432,10.1
2016,5,Toyota,1687,13.1
2016,6,Toyota,1603,11.7
2016,7,Toyota,1127,10.2
2016,8,Toyota,1824,13.8
2016,9,Toyota,1823,13.2
2016,10,Toyota,1327,11.1
2016,11,Toyota,1375,10.4
2016,12,Toyota,1238,9.1
